TIME,SCORE,PLAYER_NAMES,SCORE1,SCORE2,FIFTY,SCORE3,SCORE4,OTHER_INFO,REVIEWS,FOUR_SIX,TOUR_SIXES
2.32 sec',"[487.997039794922,619.990661621094,305.007965087891,89.0244140625000]","[133.977935791016,627.867492675781,343.046966552734,76.1641235351563]",[],[],[],[],[],[],[],[],[]
2.36 sec',"[487.997070312500,619.990661621094,305.007690429688,89.0244750976563]","[133.977737426758,627.867004394531,343.047485351563,76.1647949218750]",[],[],[],[],[],[],[],[],[]
2.4 sec',"[487.996826171875,619.990478515625,305.008300781250,89.0246582031250]","[133.977966308594,627.867553710938,343.046936035156,76.1641845703125]",[],[],[],[],[],[],[],[],[]
2.44 sec',"[487.996063232422,619.989624023438,305.008819580078,89.0255126953125]","[133.977859497070,627.868041992188,343.047424316406,76.1645507812500]",[],[],[],[],[],[],[],[],[]
2.48 sec',"[487.996459960938,619.989807128906,305.008483886719,89.0252075195313]","[133.977416992188,627.866821289063,343.047698974609,76.1658325195313]",[],[],[],[],[],[],[],[],[]
2.52 sec',"[487.996643066406,619.989746093750,305.008178710938,89.0252685546875]","[133.977844238281,627.867248535156,343.047271728516,76.1653442382813]",[],[],[],[],[],[],[],[],[]
2.56 sec',"[488.001007080078,620.006530761719,305,89]","[133.977981567383,627.869323730469,343,76]",[],[],[],[],[],"[804,629,295,72]",[],[],[]
2.6 sec',"[487.999328613281,620.003173828125,305.009460449219,89.0219116210938]","[133.978210449219,627.870605468750,343.047180175781,76.1562500000000]",[],[],[],[],[],"[804.000244140625,628.998962402344,295,72.0014648437500]",[],[],[]
2.64 sec',"[487.999572753906,620.003417968750,305.009094238281,89.0216064453125]","[133.978408813477,627.870910644531,343.046752929688,76.1549682617188]",[],[],[],[],[],"[804.000366210938,628.998596191406,294.999633789063,72.0017700195313]",[],[],[]
2.68 sec',"[487.999572753906,620.003540039063,305.009033203125,89.0215454101563]","[133.977935791016,627.870422363281,343.048492431641,76.1527709960938]",[],[],[],[],[],"[804.000183105469,628.998596191406,294.999816894531,72.0025634765625]",[],[],[]
2.72 sec',"[488.000030517578,620.003601074219,305.008697509766,89.0214233398438]","[133.978012084961,627.870605468750,343.048339843750,76.1526489257813]",[],[],[],[],[],"[803.999145507813,628.998291015625,295.001586914063,72.0029907226563]",[],[],[]
2.76 sec',"[488.000061035156,620.003417968750,305.008850097656,89.0218505859375]","[133.978073120117,627.870483398438,343.047973632813,76.1528930664063]",[],[],[],[],[],"[803.997009277344,628.990966796875,295.005798339844,72.0225219726563]",[],[],[]
2.8 sec',"[487.999786376953,620.003417968750,305.009368896484,89.0221557617188]","[133.978073120117,627.870422363281,343.048034667969,76.1529541015625]",[],[],[],[],[],"[803.997497558594,628.993041992188,295.004943847656,72.0203857421875]",[],[],[]
2.84 sec',"[487.999542236328,620.004028320313,305.009368896484,89.0216064453125]","[133.978134155273,627.870361328125,343.047973632813,76.1531372070313]",[],[],[],[],[],"[803.997924804688,628.993957519531,295.003540039063,72.0195312500000]",[],[],[]
2.88 sec',"[487.999816894531,620.005004882813,305.008666992188,89.0205078125000]","[133.977859497070,627.870483398438,343.048400878906,76.1530151367188]",[],[],[],[],[],"[803.998535156250,628.994506835938,295.002441406250,72.0184326171875]",[],[],[]
2.92 sec',"[488,620.005798339844,305.008789062500,89.0198364257813]","[133.977905273438,627.870544433594,343.048370361328,76.1531982421875]",[],[],[],[],[],"[803.999328613281,628.995971679688,295.001892089844,72.0169067382813]",[],[],[]
2.96 sec',"[488.000061035156,620.005859375000,305.008300781250,89.0196533203125]","[133.978057861328,627.870422363281,343.048187255859,76.1532592773438]",[],[],[],[],[],"[803.999206542969,628.995300292969,295.001770019531,72.0173950195313]",[],[],[]
3 sec',"[487.999694824219,620.005615234375,305.009094238281,89.0198974609375]","[133.978118896484,627.870300292969,343.048065185547,76.1534423828125]",[],[],[],[],[],"[803.999633789063,628.996093750000,295.001342773438,72.0165405273438]",[],[],[]
3.04 sec',"[487.999328613281,620.005371093750,305.009887695313,89.0200805664063]","[133.978363037109,627.870666503906,343.047637939453,76.1528320312500]",[],[],[],[],[],"[803.998840332031,628.995239257813,295.002746582031,72.0177612304688]",[],[],[]
3.08 sec',"[487.999694824219,620.005493164063,305.009155273438,89.0198364257813]","[133.978378295898,627.870788574219,343.047363281250,76.1526489257813]",[],[],[],[],[],"[803.997558593750,628.994812011719,295.004638671875,72.0179443359375]",[],[],[]
3.12 sec',"[487.999847412109,620.005554199219,305.009063720703,89.0197753906250]","[133.978363037109,627.870727539063,343.047424316406,76.1526489257813]",[],[],[],[],[],"[803.997253417969,628.994445800781,295.005676269531,72.0187377929688]",[],[],[]
3.16 sec',"[487.999450683594,620.005371093750,305.010253906250,89.0200805664063]","[133.978363037109,627.870910644531,343.047393798828,76.1525268554688]",[],[],[],[],[],"[803.996826171875,628.993774414063,295.006103515625,72.0193481445313]",[],[],[]
3.2 sec',"[487.999176025391,620.005187988281,305.010711669922,89.0202636718750]","[133.978378295898,627.870971679688,343.047302246094,76.1528930664063]",[],[],[],[],[],"[803.996765136719,628.994262695313,295.006164550781,72.0187377929688]",[],[],[]
3.24 sec',"[487.998535156250,620.004882812500,305.011901855469,89.0205688476563]","[133.978332519531,627.870849609375,343.047424316406,76.1528320312500]",[],[],[],[],[],"[803.996398925781,628.994018554688,295.006286621094,72.0191650390625]",[],[],[]
3.28 sec',"[487.998260498047,620.005004882813,305.012115478516,89.0203857421875]","[133.978363037109,627.870666503906,343.047271728516,76.1531982421875]",[],[],[],[],[],"[803.996459960938,628.995239257813,295.005737304688,72.0173339843750]",[],[],[]
3.32 sec',"[487.998321533203,620.005004882813,305.012176513672,89.0203857421875]","[133.978347778320,627.870605468750,343.047302246094,76.1531982421875]",[],[],[],[],[],"[803.996215820313,628.995178222656,295.006469726563,72.0176391601563]",[],[],[]
3.36 sec',"[487.998168945313,620.005065917969,305.012451171875,89.0203857421875]","[133.978118896484,627.870727539063,343.047180175781,76.1527709960938]",[],[],[],[],[],"[803.996276855469,628.994384765625,295.006896972656,72.0186767578125]",[],[],[]
3.4 sec',"[487.998199462891,620.005065917969,305.012847900391,89.0204467773438]","[133.978286743164,627.872619628906,343.046325683594,76.1503295898438]",[],[],[],[],[],"[803.996093750000,628.994995117188,295.007568359375,72.0179443359375]",[],[],[]
3.44 sec',"[487.999114990234,620.005310058594,305.011749267578,89.0200805664063]","[133.978286743164,627.872680664063,343.046569824219,76.1503295898438]",[],[],[],[],[],"[803.995666503906,628.993896484375,295.008728027344,72.0188598632813]",[],[],[]
3.48 sec',"[487.999511718750,620.005554199219,305.011047363281,89.0198364257813]","[133.978103637695,627.872619628906,343.046813964844,76.1505126953125]",[],[],[],[],[],"[803.995788574219,628.994873046875,295.008605957031,72.0179443359375]",[],[],[]
3.52 sec',"[488.000457763672,620.005798339844,305.010223388672,89.0194702148438]","[133.978027343750,627.872619628906,343.046936035156,76.1505737304688]",[],[],[],[],[],"[803.996093750000,628.994995117188,295.009033203125,72.0176391601563]",[],[],[]
3.56 sec',"[488.000610351563,620.005798339844,305.009948730469,89.0194091796875]","[133.978118896484,627.873352050781,343.046478271484,76.1495361328125]",[],[],[],[],[],"[803.997009277344,628.994567871094,295.008361816406,72.0201416015625]",[],[],[]
3.6 sec',"[488.001129150391,620.005981445313,305.009735107422,89.0191650390625]","[133.978164672852,627.873168945313,343.046325683594,76.1495971679688]",[],[],[],[],[],"[803.997985839844,628.994750976563,295.007629394531,72.0211181640625]",[],[],[]
3.64 sec',"[488.001892089844,620.007202148438,305.007873535156,89.0170288085938]","[133.977890014648,627.873291015625,343.046508789063,76.1494750976563]",[],[],[],[],[],"[804.000183105469,629.007934570313,295.004577636719,72.0035400390625]",[],[],[]
3.68 sec',"[488.002685546875,620.008544921875,305.006042480469,89.0145263671875]","[133.977554321289,627.873229980469,343.046875000000,76.1495361328125]",[],[],[],[],[],"[803.998535156250,629.004821777344,295.008789062500,72.0182495117188]",[],[],[]
3.72 sec',"[488.003479003906,620.009643554688,305.004150390625,89.0125122070313]","[133.977096557617,627.872985839844,343.047912597656,76.1500244140625]",[],[],[],[],[],"[803.996032714844,628.999572753906,295.014709472656,72.0371704101563]",[],[],[]
3.76 sec',"[488.002410888672,620.008789062500,305.006072998047,89.0137329101563]","[133.976943969727,627.873107910156,343.048217773438,76.1497192382813]",[],[],[],[],[],"[803.996337890625,628.999816894531,295.014038085938,72.0364990234375]",[],[],[]
3.8 sec',"[488.002685546875,620.008422851563,305.006347656250,89.0142211914063]","[133.977386474609,627.873291015625,343.047302246094,76.1494140625000]",[],[],[],[],[],"[803.996154785156,628.998474121094,295.014831542969,72.0383911132813]",[],[],[]
3.84 sec',"[488.002227783203,620.008117675781,305.007415771484,89.0147094726563]","[133.977432250977,627.873413085938,343.046936035156,76.1492309570313]",[],[],[],[],[],"[803.995300292969,628.998229980469,295.016662597656,72.0391235351563]",[],[],[]
3.88 sec',"[488.002655029297,620.008239746094,305.007049560547,89.0146484375000]","[133.977478027344,627.872985839844,343.046752929688,76.1497192382813]",[],[],[],[],[],"[803.994995117188,628.997253417969,295.017456054688,72.0404663085938]",[],[],[]
3.92 sec',"[488.002624511719,620.008239746094,305.007019042969,89.0146484375000]","[133.977584838867,627.873046875000,343.046569824219,76.1495971679688]",[],[],[],[],[],"[803.995300292969,628.997497558594,295.016296386719,72.0401611328125]",[],[],[]
3.96 sec',"[488.002166748047,620.008239746094,305.007293701172,89.0145874023438]","[133.977401733398,627.873107910156,343.047058105469,76.1496582031250]",[],[],[],[],[],"[803.994934082031,628.996948242188,295.017028808594,72.0410156250000]",[],[],[]
4 sec',"[488.002593994141,620.008483886719,305.006622314453,89.0144042968750]","[133.977279663086,627.872985839844,343.047485351563,76.1499633789063]",[],[],[],[],[],"[803.995300292969,628.996582031250,295.017150878906,72.0417480468750]",[],[],[]
4.04 sec',"[488.002899169922,620.008605957031,305.005706787109,89.0141601562500]","[133.977355957031,627.873352050781,343.047515869141,76.1494140625000]",[],[],[],[],[],"[803.995178222656,628.996643066406,295.017028808594,72.0418090820313]",[],[],[]
4.08 sec',"[488.002685546875,620.008605957031,305.006164550781,89.0142211914063]","[133.977218627930,627.873168945313,343.047729492188,76.1499633789063]",[],[],[],[],[],"[803.995544433594,628.997253417969,295.016052246094,72.0408325195313]",[],[],[]
4.12 sec',"[488.002532958984,620.008483886719,305.006378173828,89.0143432617188]","[133.977249145508,627.873107910156,343.047607421875,76.1499633789063]",[],[],[],[],[],"[803.995361328125,628.997131347656,295.016845703125,72.0408935546875]",[],[],[]
4.16 sec',"[488.002288818359,620.008361816406,305.006439208984,89.0145874023438]","[133.977478027344,627.873229980469,343.047088623047,76.1499023437500]",[],[],[],[],[],"[803.994812011719,628.997253417969,295.017639160156,72.0398559570313]",[],[],[]
4.2 sec',"[488.002532958984,620.008422851563,305.006195068359,89.0144653320313]","[133.977447509766,627.873291015625,343.047149658203,76.1496582031250]",[],[],[],[],[],"[803.994750976563,628.996520996094,295.017700195313,72.0418090820313]",[],[],[]
4.24 sec',"[488.002319335938,620.008239746094,305.006774902344,89.0147094726563]","[133.977767944336,627.873291015625,343.046691894531,76.1495361328125]",[],[],[],[],[],"[803.995300292969,628.996826171875,295.016662597656,72.0411376953125]",[],[],[]
4.28 sec',"[488.002319335938,620.008300781250,305.006896972656,89.0146484375000]","[133.977874755859,627.872985839844,343.046447753906,76.1500244140625]",[],[],[],[],[],"[803.995605468750,628.996826171875,295.016235351563,72.0410156250000]",[],[],[]
4.32 sec',"[488.001678466797,620.008117675781,305.007415771484,89.0149536132813]","[133.977951049805,627.873046875000,343.046203613281,76.1500244140625]",[],[],[],[],[],"[803.996032714844,628.996948242188,295.015808105469,72.0407714843750]",[],[],[]
4.36 sec',"[488.000854492188,620.007385253906,305.009277343750,89.0159912109375]","[133.978195190430,627.872924804688,343.045776367188,76.1502075195313]",[],[],[],[],[],"[803.996276855469,628.997314453125,295.014709472656,72.0397338867188]",[],[],[]
4.4 sec',"[488.000335693359,620.006835937500,305.010772705078,89.0167846679688]","[133.978027343750,627.872558593750,343.046264648438,76.1506347656250]",[],[],[],[],[],"[803.996459960938,628.997558593750,295.014038085938,72.0391235351563]",[],[],[]
4.44 sec',"[487.999969482422,620.006652832031,305.010650634766,89.0169677734375]","[133.978332519531,627.872680664063,343.045837402344,76.1504516601563]",[],[],[],[],[],"[803.995727539063,628.997558593750,295.015380859375,72.0388183593750]",[],[],[]
4.48 sec',"[488.000061035156,620.006774902344,305.010498046875,89.0169677734375]","[133.978332519531,627.872680664063,343.045837402344,76.1505126953125]",[],[],[],[],[],"[803.996032714844,628.997985839844,295.014465332031,72.0380859375000]",[],[],[]
4.52 sec',"[488.000823974609,620.007568359375,305.009429931641,89.0158081054688]","[133.978424072266,627.872619628906,343.045776367188,76.1505126953125]",[],[],[],[],[],"[803.995727539063,628.997863769531,295.015014648438,72.0385742187500]",[],[],[]
4.56 sec',"[488.004669189453,620.014648437500,304.999237060547,89.0043334960938]","[133.978454589844,627.872619628906,343.045501708984,76.1503906250000]",[],[],[],[],[],"[803.996154785156,628.999023437500,295.014099121094,72.0354003906250]",[],[],[]
4.6 sec',"[488.006134033203,620.018371582031,304.994232177734,88.9981079101563]","[133.978790283203,627.872680664063,343.045166015625,76.1502685546875]",[],[],[],[],[],"[803.996093750000,628.998901367188,295.014038085938,72.0354614257813]",[],[],[]
4.64 sec',"[487.984802246094,620.019226074219,305.027221679688,89.0963134765625]","[133.979080200195,627.873168945313,343.044677734375,76.1497192382813]",[],[],[],[],[],"[803.996032714844,628.997802734375,295.013977050781,72.0362548828125]",[],[],[]
4.68 sec',"[487.192840576172,619.841430664063,306.239044189453,92.4488525390625]","[133.979034423828,627.873107910156,343.044860839844,76.1499633789063]",[],[],[],[],[],"[803.996032714844,628.998046875000,295.013610839844,72.0360107421875]",[],[],[]
4.72 sec',"[487.240447998047,619.848754882813,306.168121337891,92.4453125000000]","[133.979171752930,627.873046875000,343.044677734375,76.1499633789063]",[],[],[],[],[],"[803.996643066406,628.998229980469,295.012390136719,72.0356445312500]",[],[],[]
4.76 sec',"[487.500335693359,619.964416503906,305.674896240234,90.4429321289063]","[133.979125976563,627.873168945313,343.044494628906,76.1495361328125]",[],[],[],[],[],"[803.996459960938,628.998107910156,295.013305664063,72.0361938476563]",[],[],[]
4.8 sec',"[487.591400146484,619.995117187500,305.455596923828,89.2145385742188]","[133.979354858398,627.873596191406,343.043945312500,76.1484375000000]",[],[],[],[],[],"[803.996582031250,628.998291015625,295.013427734375,72.0358276367188]",[],[],[]
4.84 sec',"[487.459960937500,618.708984375000,305.805786132813,90.6348266601563]","[133.979370117188,627.873718261719,343.044006347656,76.1488647460938]",[],[],[],[],[],"[803.996765136719,628.998046875000,295.013732910156,72.0363159179688]",[],[],[]
4.88 sec',"[487.460754394531,618.177978515625,305.909362792969,91.2833251953125]","[133.978790283203,627.940307617188,343.053192138672,76.1308593750000]",[],[],[],[],[],"[804.007019042969,629.037902832031,295.007629394531,72.0094604492188]",[],[],[]
4.92 sec',"[487.460388183594,618.176879882813,305.910278320313,91.2849121093750]","[133.978698730469,627.940124511719,343.053436279297,76.1311035156250]",[],[],[],[],[],"[804.006408691406,629.037597656250,295.007751464844,72.0098266601563]",[],[],[]
4.96 sec',"[487.459838867188,618.176025390625,305.911193847656,91.2861938476563]","[133.979309082031,627.940612792969,343.052612304688,76.1299438476563]",[],[],[],[],[],"[804.006042480469,629.037292480469,295.008361816406,72.0105590820313]",[],[],[]
5 sec',"[487.459167480469,618.174743652344,305.912658691406,91.2879638671875]","[133.978851318359,627.939575195313,343.053497314453,76.1314697265625]",[],[],[],[],[],"[804.005676269531,629.037353515625,295.008972167969,72.0103759765625]",[],[],[]
5.04 sec',"[487.459075927734,618.174804687500,305.912872314453,91.2877807617188]","[133.978668212891,627.938964843750,343.054351806641,76.1321411132813]",[],[],[],[],[],"[804.005065917969,629.037353515625,295.009582519531,72.0100097656250]",[],[],[]
5.08 sec',"[487.458740234375,618.174682617188,305.913269042969,91.2879638671875]","[133.978759765625,627.938476562500,343.054107666016,76.1327514648438]",[],[],[],[],[],"[804.006530761719,629.037658691406,295.007873535156,72.0096435546875]",[],[],[]
5.12 sec',"[487.458587646484,618.174743652344,305.913604736328,91.2880249023438]","[133.978759765625,627.938659667969,343.054199218750,76.1326293945313]",[],[],[],[],[],"[804.006408691406,629.037536621094,295.008239746094,72.0097045898438]",[],[],[]
5.16 sec',"[487.459228515625,618.175354003906,305.912231445313,91.2871093750000]","[133.979248046875,627.941772460938,343.053588867188,76.1286621093750]",[],[],[],[],[],"[804.006042480469,629.037109375000,295.008605957031,72.0105590820313]",[],[],[]
